attempt,turns,length
0,0,3
1,11,4
2,2,3
3,5,3
4,2,4
5,0,3
6,1,3
7,0,3
8,0,3
9,3,2
10,1,3
11,0,3
12,2,3
13,1,3
14,4,3
15,0,3
16,2,3
17,0,3
18,1,2
19,0,3
20,0,3
21,0,3
22,10,3
23,0,3
24,1,3
25,1,3
26,4,3
27,0,3
28,1,3
29,2,3
30,0,3
31,2,3
32,2,3
33,7,3
34,1,3
35,1,3
36,1,3
37,2,3
38,2,3
39,3,3
40,4,3
41,2,3
42,1,3
43,0,3
44,1,2
45,2,3
46,0,3
47,1,3
48,6,3
49,2,3
50,1,3
51,1,3
52,10,3
53,0,3
54,8,3
55,0,3
56,2,3
57,1,3
58,3,3
59,0,3
60,0,3
61,1,3
62,0,3
63,2,3
64,0,3
65,0,3
66,1,3
67,1,3
68,0,3
69,2,3
70,5,3
71,0,3
72,0,3
73,1,3
74,11,2
75,1,3
76,6,3
77,7,3
78,0,3
79,0,3
80,0,3
81,4,3
82,10,3
83,2,4
84,0,3
85,2,3
86,0,3
87,9,3
88,3,3
89,0,3
90,0,3
91,1,3
92,0,3
93,4,3
94,2,3
95,0,3
96,0,3
97,2,3
98,5,3
99,8,3
100,0,3
101,0,3
102,3,3
103,0,3
104,1,3
105,1,3
106,5,3
107,0,3
108,1,3
109,2,3
110,2,3
111,1,3
112,4,3
113,2,3
114,0,3
115,0,3
116,3,3
117,1,3
118,0,3
119,1,3
120,0,3
121,6,3
122,6,3
123,0,3
124,2,3
125,2,3
126,2,3
127,0,3
128,1,3
129,1,2
130,4,3
131,10,4
132,1,3
133,0,3
134,0,3
135,2,3
136,0,3
137,1,4
138,0,3
139,1,3
140,0,3
141,4,3
142,0,3
143,2,3
144,1,3
145,0,3
146,6,3
147,0,3
148,1,3
149,1,3
150,0,3
151,5,3
152,3,3
153,6,3
154,2,3
155,3,3
156,0,3
157,3,3
158,3,3
159,0,3
160,0,3
161,2,3
162,3,3
163,4,3
164,6,3
165,2,3
166,2,4
167,4,3
168,1,3
169,0,3
170,1,3
171,2,3
172,0,3
173,2,3
174,3,3
175,3,4
176,9,3
177,0,3
178,1,3
179,0,3
180,1,3
181,2,3
182,1,3
183,2,3
184,11,3
185,2,3
186,6,3
187,0,3
188,4,3
189,2,3
190,2,3
191,0,3
192,2,4
193,0,3
194,0,3
195,0,3
196,14,4
197,2,3
198,0,3
199,0,3
200,5,3
201,7,3
202,7,3
203,0,3
204,0,3
205,3,3
206,0,3
207,1,3
208,3,3
209,0,3
210,2,3
211,0,3
212,2,3
213,0,3
214,1,3
215,6,3
216,4,3
217,5,3
218,1,3
219,5,3
220,2,3
221,1,3
222,3,4
223,2,3
224,1,3
225,1,3
226,2,3
227,3,3
228,2,3
229,0,3
230,4,3
231,4,3
232,1,3
233,7,4
234,2,3
235,6,3
236,2,3
237,3,3
238,11,2
239,0,3
240,9,3
241,0,3
242,1,3
243,1,3
244,2,3
245,5,3
246,0,3
247,1,3
248,1,3
249,4,3
250,6,3
251,0,3
252,0,3
253,0,3
254,0,3
255,0,3
256,6,3
257,0,3
258,1,3
259,0,3
260,2,3
261,0,3
262,4,3
263,0,3
264,1,4
265,2,3
266,1,3
267,10,3
268,1,3
269,5,3
270,6,4
271,1,3
272,5,3
273,0,3
274,0,3
275,0,3
276,1,3
277,1,3
278,1,3
279,0,3
280,2,3
281,0,3
282,3,3
283,1,3
284,20,3
285,3,3
286,2,3
287,1,3
288,1,3
289,0,3
290,1,3
291,2,3
292,7,3
293,1,3
294,2,3
295,3,3
296,0,3
297,0,3
298,4,2
299,0,3
300,4,3
301,1,3
302,1,2
303,5,3
304,5,3
305,0,3
306,0,3
307,10,3
308,9,3
309,0,3
310,1,3
311,0,3
312,1,3
313,0,3
314,6,3
315,0,3
316,2,3
317,0,3
318,0,3
319,0,3
320,3,3
321,1,3
322,2,3
323,0,3
324,10,3
325,0,3
326,2,3
327,0,3
328,3,3
329,0,3
330,2,3
331,1,3
332,5,3
333,3,3
334,1,3
335,0,3
336,0,3
337,2,3
338,0,3
339,1,3
340,1,3
341,1,4
342,0,3
343,5,3
344,1,3
345,5,3
346,1,3
347,3,3
348,1,3
349,0,3
350,4,3
351,0,3
352,2,3
353,0,3
354,2,3
355,0,3
356,2,3
357,0,3
358,1,3
359,1,3
360,0,3
361,0,3
362,2,3
363,0,3
364,2,3
365,2,3
366,0,3
367,0,3
368,7,4
369,1,3
370,0,3
371,3,3
372,1,3
373,5,3
374,1,3
375,0,3
376,3,3
377,3,3
378,4,3
379,5,3
380,1,3
381,9,2
382,0,3
383,4,3
384,1,4
385,2,3
386,1,3
387,1,3
388,0,3
389,1,3
390,4,3
391,6,3
392,6,3
393,3,3
394,2,2
395,0,3
396,1,3
397,0,3
398,4,3
399,0,3
400,3,3
401,0,3
402,1,3
403,0,3
404,0,3
405,0,3
406,0,3
407,4,3
408,0,3
409,1,3
410,0,3
411,3,3
412,1,3
413,1,4
414,1,3
