attempt,turns,length
0,0,3
1,2,3
2,1,3
3,2,3
4,0,3
5,12,3
6,0,3
7,0,3
8,0,3
9,0,3
10,2,3
11,0,3
12,0,3
13,0,3
14,2,3
15,0,3
16,10,4
17,0,3
18,10,3
19,7,3
20,1,3
21,10,3
22,0,3
23,0,3
24,0,3
25,7,3
26,3,3
27,3,3
28,4,3
29,0,3
30,1,3
31,0,3
32,0,3
33,1,3
34,5,3
35,0,3
36,0,3
37,0,3
38,2,3
39,0,3
40,1,3
41,0,3
42,0,3
43,0,3
44,0,3
45,0,3
46,10,4
47,1,3
48,2,3
49,2,3
50,3,3
51,3,3
52,5,3
53,1,3
54,0,3
55,2,4
56,0,3
57,0,3
58,0,3
59,2,4
60,1,3
61,0,3
62,0,3
63,14,4
64,0,3
65,1,3
66,0,3
67,1,3
68,2,3
69,0,3
70,0,3
71,10,3
72,1,3
73,1,3
74,0,3
75,1,3
76,0,3
77,5,3
78,0,3
79,5,2
80,1,3
81,0,3
82,1,3
83,0,3
84,4,3
85,0,3
86,1,3
87,0,3
88,0,3
89,3,3
90,3,3
91,5,3
92,0,3
93,0,3
94,0,3
95,2,3
96,1,3
97,2,3
98,1,3
99,0,3
100,4,3
101,0,3
102,0,3
103,1,3
104,1,3
105,0,3
106,8,4
107,3,3
108,1,3
109,4,4
110,5,3
111,7,3
112,1,3
113,1,3
114,0,3
115,4,3
116,3,3
117,0,3
118,5,3
119,4,3
120,0,3
121,0,3
122,2,4
123,1,3
124,2,3
125,0,3
126,0,3
127,0,3
128,2,3
129,0,3
130,0,3
131,1,3
132,5,3
133,0,3
134,0,3
135,0,3
136,2,3
137,1,3
138,4,3
139,0,3
140,0,3
141,3,3
142,3,3
143,0,3
144,2,3
145,1,3
146,9,3
147,4,3
148,2,3
149,2,3
150,1,3
151,3,3
152,2,3
153,3,3
154,3,3
155,8,4
156,4,3
157,0,3
158,4,3
159,0,3
160,4,3
161,1,3
162,0,3
163,2,3
164,0,3
165,0,3
166,0,3
167,3,3
168,7,3
169,0,3
170,11,3
171,4,3
172,3,3
173,0,3
174,6,3
175,9,2
176,2,3
177,0,3
178,1,3
179,0,3
180,0,3
181,2,3
182,4,3
183,2,3
184,8,3
185,0,3
186,16,4
187,0,3
188,1,3
189,5,3
190,4,3
191,2,3
192,1,3
193,0,3
194,2,3
195,2,3
196,1,3
197,1,3
198,0,3
199,1,3
200,0,3
201,3,3
202,1,3
203,0,3
204,0,3
205,2,3
206,12,3
207,1,3
208,3,3
209,1,3
210,3,3
211,9,2
212,0,3
213,1,3
214,2,3
215,0,3
216,1,3
217,3,3
218,4,3
219,1,3
220,0,3
221,2,3
222,3,3
223,0,3
224,5,3
225,1,3
226,0,3
227,0,3
228,1,3
229,0,3
230,4,3
231,0,3
232,0,3
233,1,3
234,0,3
235,0,3
236,1,3
237,3,3
238,2,3
239,0,3
240,0,3
241,0,3
242,0,3
243,0,3
244,11,3
245,1,3
246,0,3
247,3,3
248,0,3
249,1,3
250,0,3
251,3,3
252,5,3
253,0,3
254,10,3
255,0,3
256,9,3
257,0,3
258,0,3
259,2,3
260,0,3
261,16,3
262,0,3
263,2,3
264,0,3
265,4,3
266,9,3
267,0,3
268,3,3
269,2,4
270,1,3
271,4,3
272,1,3
273,0,3
274,1,3
275,2,3
276,0,3
277,3,3
278,0,3
279,1,3
280,4,2
281,2,3
282,1,3
283,6,3
284,2,3
285,1,3
286,0,3
287,2,3
288,0,3
289,3,3
290,2,3
291,2,3
292,4,3
293,0,3
294,1,3
295,7,3
296,5,3
297,1,3
298,0,3
299,1,3
300,2,3
301,0,3
302,5,3
303,2,3
304,1,3
305,1,3
306,1,3
307,2,3
308,2,3
309,3,3
310,4,3
311,0,3
312,4,3
313,0,3
314,0,3
315,3,3
316,3,3
317,2,3
318,0,3
319,0,3
320,2,3
321,0,3
322,1,3
323,2,3
324,1,3
325,4,3
326,0,3
327,0,3
328,0,3
329,6,3
330,2,3
331,1,3
332,0,3
333,0,3
334,0,3
335,0,3
336,0,3
337,5,3
338,0,3
339,8,2
340,2,3
341,1,3
342,0,3
343,0,3
344,4,3
345,2,3
346,0,3
347,1,3
348,9,3
349,0,3
350,1,3
351,0,3
352,2,3
353,4,3
354,0,3
355,2,3
356,0,3
357,0,3
358,4,3
359,7,4
360,3,3
361,1,3
362,2,3
363,0,3
364,4,3
365,2,3
366,8,3
367,1,3
368,3,3
369,4,3
370,3,3
371,0,3
372,4,3
373,0,3
374,2,3
375,5,3
376,1,3
377,6,3
378,2,3
379,1,4
380,5,3
381,2,2
382,0,3
383,1,3
384,0,3
385,6,3
386,0,3
387,0,3
388,2,3
389,1,3
390,0,3
391,1,3
392,7,3
393,2,3
394,6,2
395,6,3
396,0,3
397,5,4
398,0,3
399,0,3
400,0,3
401,3,3
402,0,3
403,0,3
404,1,3
405,0,3
406,1,3
407,5,3
408,1,3
409,1,3
410,0,3
411,1,3
412,0,3
413,0,3
414,0,3
415,2,3
416,0,3
417,0,3
418,4,3
419,6,3
420,8,2
421,4,3
422,1,3
423,2,3
424,3,3
425,2,3
426,2,3
427,12,3
428,8,4
429,0,3
430,0,3
431,0,3
432,4,3
433,4,3
434,0,3
435,2,3
436,0,3
437,0,3
438,7,3
439,3,3
440,4,3
441,3,3
442,1,3
443,3,3
444,0,3
445,5,3
446,7,3
447,1,3
448,6,4
449,0,3
450,0,3
451,1,3
452,17,4
453,0,3
454,12,3
455,0,3
456,1,3
457,0,3
458,2,4
459,8,3
460,0,3
461,1,3
462,1,3
463,8,3
464,0,3
465,5,3
466,4,3
467,0,3
468,0,3
469,5,3
470,1,3
471,1,3
472,1,3
473,1,3
474,1,3
475,7,3
476,2,3
477,1,3
478,0,3
479,1,3
480,8,3
481,2,3
482,6,3
483,0,3
484,1,3
485,0,3
486,2,3
487,0,3
488,1,3
489,0,3
490,0,3
491,2,2
492,0,3
493,8,3
494,0,3
495,0,3
496,0,3
497,4,3
498,1,3
499,1,3
500,1,3
501,0,3
502,3,3
503,3,3
504,0,3
505,0,3
506,0,3
507,5,3
508,1,3
509,0,3
510,5,3
511,0,3
512,4,3
513,0,3
514,2,3
515,1,3
516,3,4
517,1,3
518,0,3
519,3,3
520,3,3
521,0,3
522,1,3
523,1,3
524,2,3
525,0,3
526,2,3
527,0,3
528,5,3
529,1,3
530,0,3
531,2,3
532,2,3
533,6,3
534,5,3
535,2,3
536,1,3
537,0,3
538,1,3
539,5,4
540,1,3
541,0,3
542,1,3
543,2,3
544,0,3
545,8,3
546,10,3
547,1,3
548,2,3
549,3,3
550,6,3
551,0,3
552,0,3
553,1,3
554,3,3
555,1,3
556,0,3
557,0,3
558,5,3
559,0,3
560,9,3
561,0,3
562,0,3
563,3,3
564,0,3
565,0,3
566,1,3
567,0,3
568,10,3
569,0,3
570,4,3
571,1,3
572,1,3
573,1,3
574,0,3
575,2,3
576,7,3
577,9,3
578,4,3
579,1,3
580,0,3
581,2,3
582,0,3
583,5,3
584,7,3
585,2,2
586,0,3
587,2,3
588,1,3
589,4,3
590,1,3
591,1,3
592,1,3
593,0,3
594,6,3
595,11,4
596,2,3
597,1,3
598,0,3
599,2,3
600,0,3
601,0,3
602,1,3
603,1,3
604,6,3
605,1,3
606,0,3
607,3,3
608,2,3
609,0,3
610,0,3
611,1,3
612,0,3
613,0,3
614,1,3
615,2,3
616,1,3
617,0,3
618,3,3
619,4,3
620,0,3
621,2,3
622,3,3
623,1,3
624,0,3
625,0,3
626,0,3
627,0,3
628,2,3
629,0,3
630,0,3
631,9,3
632,0,3
633,0,3
634,0,3
635,1,3
636,3,3
637,4,2
638,0,3
639,3,3
640,15,3
641,1,3
642,7,3
643,0,3
644,3,3
645,1,3
646,0,3
647,2,3
648,2,3
649,0,3
650,1,3
651,0,3
652,0,3
653,2,3
654,4,2
655,0,3
656,0,3
657,2,3
658,0,3
659,0,3
660,0,3
661,1,3
662,1,3
663,5,2
664,0,3
665,0,3
666,5,3
667,4,3
668,2,3
669,5,3
670,1,3
671,1,3
672,0,3
673,3,3
674,2,3
675,4,3
676,0,3
677,5,3
678,1,3
679,6,4
680,0,3
681,3,3
682,1,3
683,0,3
684,5,3
685,0,3
686,0,3
687,0,3
688,9,3
689,0,3
690,0,3
691,12,3
692,2,3
693,0,3
694,2,3
695,0,3
696,4,3
697,1,3
698,2,3
699,0,3
700,5,3
701,7,3
702,0,3
703,0,3
704,1,3
705,1,3
706,3,4
707,0,3
708,2,3
709,14,2
710,0,3
711,0,3
712,1,3
713,1,3
714,0,3
715,2,3
716,0,3
717,4,3
718,4,3
719,0,3
720,0,3
721,0,3
722,1,3
723,0,3
724,7,3
725,20,2
726,6,3
727,0,3
728,13,3
729,0,3
730,0,3
731,4,3
732,1,3
733,2,3
734,2,3
735,4,3
736,1,4
737,1,3
738,6,3
739,0,3
740,2,3
741,16,4
742,0,3
743,0,3
744,2,3
745,1,3
746,0,3
747,2,3
748,6,3
749,0,3
750,3,3
751,1,3
752,0,3
753,3,3
754,2,3
755,6,3
756,1,3
757,0,3
758,2,3
759,5,3
760,3,3
761,0,3
762,0,3
763,0,3
764,11,2
765,3,3
766,1,3
767,2,3
768,1,3
769,4,3
770,0,3
771,2,3
772,4,3
773,4,3
774,2,3
775,0,3
776,1,3
777,0,3
778,5,3
779,2,3
780,1,3
781,3,3
782,0,3
783,18,3
784,5,3
785,8,3
786,5,3
787,4,3
788,0,3
789,1,3
790,3,3
791,4,3
792,14,3
793,1,3
794,3,3
795,0,3
796,0,3
797,10,3
798,4,3
799,3,3
800,0,3
801,0,3
802,4,3
803,6,3
804,0,3
805,1,3
806,4,3
807,5,3
808,1,3
809,4,3
810,8,3
811,2,3
812,1,3
813,1,3
814,0,3
815,1,3
816,3,3
817,1,3
818,2,3
819,4,3
820,2,3
821,0,3
822,1,3
823,0,3
824,8,3
825,8,3
826,0,3
827,3,4
828,0,3
829,7,3
830,2,3
831,0,3
832,1,3
833,0,3
834,0,3
835,0,3
836,17,3
837,9,3
838,3,3
839,7,3
840,3,3
841,1,3
842,16,3
843,1,3
844,0,3
845,0,3
846,0,3
847,0,3
848,0,3
849,0,3
850,0,3
851,6,3
852,1,3
853,2,3
854,13,3
855,0,3
856,3,3
857,1,3
858,0,3
859,1,3
860,0,3
861,3,3
862,1,3
863,0,3
864,1,3
865,0,3
866,17,3
867,2,3
868,1,3
869,0,3
870,7,3
871,0,3
872,6,4
873,0,3
874,0,3
875,2,4
876,3,3
877,0,3
878,0,3
879,0,3
880,0,3
881,0,3
882,3,3
883,0,3
884,3,3
885,1,3
886,0,3
887,0,3
888,0,3
889,6,3
890,3,3
891,0,3
892,8,5
893,0,3
894,0,3
895,0,3
896,7,3
897,0,3
898,1,3
899,1,3
900,2,3
901,0,3
902,2,3
903,5,3
904,1,3
905,4,3
906,1,3
907,14,3
908,5,3
909,12,3
910,0,3
911,17,3
912,0,3
913,0,3
914,0,3
915,13,4
916,2,4
917,0,3
918,15,3
919,3,3
920,2,3
921,2,3
922,8,3
923,1,3
924,3,3
925,0,3
926,4,3
927,2,3
928,25,3
929,0,3
930,2,3
931,0,3
932,0,3
933,0,3
934,1,3
935,2,3
936,2,3
937,18,5
938,2,3
939,3,3
940,2,3
941,13,3
942,9,4
943,2,3
944,1,3
945,0,3
946,4,3
947,13,3
948,0,3
949,0,3
950,6,3
951,3,3
952,5,3
953,8,6
954,2,3
955,2,3
956,17,3
957,8,3
958,6,3
959,0,3
960,4,3
961,3,3
962,0,3
963,2,3
964,0,3
965,0,3
966,5,3
967,0,3
968,2,4
969,0,3
970,2,3
971,1,3
972,1,3
973,2,3
974,0,3
975,13,3
976,4,3
977,0,3
978,4,3
979,3,3
980,0,3
981,1,3
982,0,3
983,0,3
984,0,3
985,0,3
986,0,3
987,0,3
988,1,3
989,1,3
990,5,2
991,2,3
992,3,3
993,0,3
994,1,3
995,9,3
996,0,3
997,0,3
998,0,3
999,3,4
1000,10,3
1001,0,3
1002,23,3
1003,0,3
1004,7,3
1005,0,3
1006,0,3
1007,6,3
1008,0,3
1009,1,3
1010,19,4
1011,0,3
1012,9,3
1013,0,3
1014,0,3
1015,1,3
1016,8,3
1017,3,3
1018,0,3
1019,0,3
1020,0,3
1021,2,3
1022,0,3
1023,17,3
1024,15,3
1025,3,4
1026,14,3
1027,0,3
1028,10,3
1029,8,3
1030,0,3
1031,10,3
1032,1,4
1033,7,3
1034,8,3
1035,0,3
1036,2,3
1037,7,4
1038,5,3
1039,0,3
1040,0,3
1041,1,3
1042,9,3
1043,6,3
1044,2,4
1045,1,3
1046,0,3
1047,8,3
1048,0,3
1049,6,3
1050,3,4
1051,1,3
1052,9,2
1053,1,4
1054,0,3
1055,0,3
1056,3,3
1057,0,3
1058,4,4
1059,2,3
1060,3,4
1061,12,3
1062,3,4
1063,7,3
1064,1,3
1065,0,3
1066,0,3
