attempt,turns,length
0,5,3
1,2,3
2,9,3
3,2,3
4,2,3
5,7,3
6,1,3
7,3,3
8,0,3
9,1,3
10,3,3
11,18,3
12,4,3
13,0,3
14,6,4
15,1,3
16,0,3
17,1,3
18,2,3
19,4,3
20,1,3
21,0,3
22,0,3
23,1,3
24,0,3
25,0,3
26,4,3
27,2,3
28,2,2
29,4,3
30,12,2
31,0,3
32,0,3
33,5,2
34,1,3
35,0,3
36,0,3
37,1,3
38,4,3
39,1,3
40,6,3
41,4,3
42,1,3
43,3,3
44,3,3
45,5,3
46,4,4
47,0,3
48,0,3
49,2,3
50,0,3
51,0,3
52,2,3
53,0,3
54,11,4
55,1,3
56,0,3
57,2,3
58,10,3
59,1,3
60,8,3
61,0,3
62,0,3
63,1,3
64,1,3
65,2,3
66,9,3
67,1,3
68,0,3
69,2,3
70,0,3
71,6,3
72,2,3
73,4,3
74,4,3
75,3,3
76,1,3
77,1,3
78,3,3
79,4,3
80,2,3
81,1,3
82,4,3
83,13,3
84,0,3
85,0,3
86,0,3
87,4,3
88,3,3
89,1,3
90,0,3
91,0,3
92,0,3
93,1,3
94,0,3
95,0,3
96,2,3
97,5,3
98,1,3
99,1,3
100,1,3
101,3,3
102,0,3
103,5,3
104,2,3
105,0,3
106,1,3
107,1,3
108,0,3
109,2,3
110,0,3
111,3,3
112,0,3
113,1,3
114,0,3
115,0,3
116,1,3
117,9,3
118,2,3
119,13,3
120,2,3
121,1,3
122,0,3
123,4,4
124,2,3
125,2,3
126,0,3
127,1,3
128,0,3
129,4,3
130,0,3
131,8,3
132,6,3
133,1,3
134,9,3
135,0,3
136,0,3
137,0,3
138,3,3
139,1,3
140,1,3
141,0,3
142,0,3
143,1,3
144,0,3
145,4,3
146,1,3
147,12,3
148,0,3
149,6,3
150,3,2
151,4,3
152,0,3
153,8,3
154,1,3
155,2,3
156,4,3
157,5,3
158,6,3
159,5,3
160,0,3
161,0,3
162,0,3
163,9,4
164,0,3
165,3,3
166,12,3
167,5,4
168,0,3
169,3,3
170,5,3
171,0,3
172,1,3
173,2,3
174,4,3
175,0,3
176,0,3
177,1,3
178,1,3
179,1,3
180,12,3
181,4,3
182,1,3
183,0,3
184,1,3
185,4,3
186,0,3
187,5,3
188,11,3
189,0,3
190,0,3
191,7,3
192,0,3
193,3,4
194,2,3
195,1,3
196,0,3
197,6,4
198,2,3
199,2,3
200,1,3
201,9,3
202,1,3
203,0,3
204,0,3
205,0,3
206,2,3
207,0,3
208,0,3
209,0,3
210,7,3
211,3,3
212,0,3
213,0,3
214,0,3
215,0,3
216,1,3
217,7,3
218,3,3
219,2,3
220,4,3
221,0,3
222,4,3
223,0,3
224,0,3
225,5,3
226,5,3
227,7,3
228,0,3
229,3,3
230,3,3
231,1,3
232,0,3
233,2,3
234,0,3
235,1,3
236,1,3
237,0,3
238,8,3
239,0,3
240,0,3
241,0,3
242,2,3
243,0,3
244,6,3
245,2,3
246,0,3
247,0,3
248,4,3
249,0,3
250,0,3
251,2,3
252,8,3
253,1,3
254,0,3
255,0,3
256,3,3
257,0,3
258,0,3
259,3,3
260,4,3
261,1,3
262,0,3
263,0,3
264,3,3
265,7,4
266,0,3
267,2,2
268,0,3
269,1,3
270,3,3
271,0,3
272,0,3
273,3,3
274,7,3
275,0,3
276,2,3
277,3,3
278,8,3
279,0,3
280,2,3
281,0,3
282,12,3
283,4,3
284,1,3
285,0,3
286,0,3
287,2,3
288,0,3
289,0,3
290,1,3
291,3,3
292,4,3
293,1,3
294,1,3
295,1,3
296,6,3
297,5,3
298,3,3
299,11,3
300,3,3
301,6,3
302,7,3
303,9,3
304,1,3
305,1,3
306,0,3
307,5,3
308,7,3
309,0,3
310,2,3
311,5,3
312,7,5
313,0,3
314,7,2
315,1,4
316,8,3
317,13,4
318,2,3
319,8,3
320,2,3
321,0,3
322,0,3
323,2,3
324,3,3
325,0,3
326,4,3
327,2,3
328,1,3
329,13,3
330,21,3
331,3,4
332,3,3
333,11,2
334,1,3
335,0,3
336,0,3
337,6,2
338,0,3
339,22,3
340,0,3
