attempt,turns,length
0,0,3
1,0,3
2,0,3
3,6,4
4,3,3
5,1,3
6,2,3
7,2,3
8,0,3
9,0,3
10,1,3
11,0,3
12,1,3
13,0,3
14,1,3
15,2,3
16,0,3
17,1,3
18,0,3
19,1,3
20,2,3
21,0,3
22,0,3
23,0,3
24,1,3
25,5,3
26,5,3
27,1,3
28,0,3
29,1,3
30,3,3
31,4,3
32,0,3
33,0,3
34,0,3
35,0,3
36,1,3
37,0,3
38,1,3
39,0,3
40,1,3
41,4,3
42,0,3
43,8,3
44,12,3
45,3,3
46,0,3
47,0,3
48,2,4
49,4,3
50,0,3
51,4,3
52,0,3
53,7,3
54,3,2
55,10,3
56,2,3
57,4,3
58,0,3
59,2,3
60,10,3
61,2,3
62,0,3
63,0,3
64,0,3
65,1,3
66,1,3
67,0,3
68,1,3
69,0,3
70,1,3
71,0,3
72,0,3
73,0,3
74,1,3
75,1,3
76,3,3
77,1,3
78,3,3
79,1,3
80,0,3
81,3,3
82,1,3
83,4,3
84,0,3
85,6,3
86,4,3
87,3,3
88,0,3
89,2,3
90,0,3
91,0,3
92,1,3
93,1,3
94,1,3
95,0,3
96,2,3
97,0,3
98,1,3
99,1,4
100,1,3
101,3,3
102,0,3
103,0,3
104,0,3
105,2,3
106,0,3
107,0,3
108,6,3
109,5,4
110,0,3
111,3,3
112,2,3
113,1,3
114,1,3
115,0,3
116,3,3
117,2,3
118,1,3
119,2,3
120,0,3
121,4,3
122,1,3
123,0,3
124,0,3
125,1,3
126,0,3
127,1,3
128,0,3
129,0,3
130,11,3
131,0,3
132,1,3
133,2,3
134,0,3
135,1,3
136,1,3
137,4,3
138,0,3
139,1,3
140,0,3
141,1,3
142,2,3
143,0,3
144,1,3
145,16,3
146,1,3
147,2,3
148,2,3
149,0,3
150,7,3
151,1,3
152,1,3
153,0,3
154,0,3
155,6,3
156,1,3
157,2,3
158,0,3
159,0,3
160,9,3
161,6,2
162,2,3
163,1,3
164,0,3
165,5,4
166,5,4
167,14,3
168,1,3
169,0,3
170,4,4
171,8,3
172,1,3
173,0,3
174,0,3
175,0,3
176,6,2
177,0,3
178,0,3
179,0,3
180,3,3
181,7,3
182,1,3
183,1,3
184,6,3
185,0,3
186,2,3
187,0,3
188,0,3
189,8,3
190,2,3
191,0,3
192,4,3
193,0,3
194,0,3
195,0,3
196,0,3
197,2,3
198,0,3
199,0,3
200,0,3
201,1,3
202,2,3
203,0,3
204,1,3
205,5,3
206,0,3
207,2,3
208,0,3
209,4,3
210,2,3
211,0,3
212,0,3
213,3,3
214,1,3
215,7,3
216,0,3
217,1,3
218,2,3
219,1,4
220,0,3
221,0,3
222,4,3
223,7,3
224,0,3
225,0,3
226,1,3
227,0,3
228,1,3
229,0,3
230,0,3
231,11,2
232,1,3
233,1,4
234,0,3
235,0,3
236,1,3
237,0,3
238,6,3
239,0,3
240,2,3
241,0,3
242,0,3
243,1,3
244,0,3
245,0,3
246,3,3
247,1,3
248,7,3
249,0,3
250,4,3
251,5,3
252,0,3
253,1,3
254,0,3
255,10,3
256,1,3
257,5,3
258,0,3
259,0,3
260,2,3
261,5,4
262,10,3
263,1,3
264,0,3
265,2,3
266,3,3
267,5,3
268,1,3
269,0,3
270,0,3
271,5,3
272,5,4
273,0,3
274,0,3
275,2,3
276,4,3
277,9,4
278,0,3
279,8,3
280,1,3
281,1,3
282,7,3
283,1,3
284,1,3
285,0,3
286,1,3
287,0,3
288,5,3
289,1,3
290,1,3
291,0,3
292,4,4
293,0,3
294,5,3
295,2,3
296,0,3
297,0,3
298,2,3
299,3,3
300,8,2
301,13,3
302,1,3
303,2,3
304,6,3
305,4,3
306,1,3
307,0,3
308,1,3
309,1,3
310,0,3
311,0,3
312,16,3
313,1,3
314,1,3
315,0,3
316,4,3
317,1,3
318,0,3
319,1,3
320,0,3
321,0,3
322,0,3
323,0,3
324,8,3
325,1,3
326,0,3
327,0,3
328,2,3
329,0,3
330,1,3
331,1,3
332,0,3
333,1,3
334,5,3
335,2,3
336,8,3
337,0,3
338,4,3
339,0,3
340,4,3
341,5,3
342,0,3
343,2,3
344,0,3
345,0,3
346,20,3
347,0,3
348,0,3
349,0,3
350,16,3
351,10,3
352,0,3
353,0,3
354,7,3
355,0,3
356,0,3
357,0,3
358,0,3
359,3,3
360,1,3
361,5,3
362,1,3
363,0,3
364,6,3
365,0,3
366,1,3
367,3,4
368,0,3
369,3,3
370,4,3
371,1,3
372,31,3
373,0,3
374,0,3
375,3,3
376,0,3
377,28,5
378,0,3
379,5,2
380,0,3
381,9,3
382,3,3
383,5,4
384,1,3
385,2,3
386,1,3
387,1,3
388,3,3
389,0,3
390,1,3
391,0,3
392,19,3
393,0,3
394,0,3
395,0,3
396,0,3
397,3,3
398,0,3
399,0,3
400,5,3
401,2,3
402,7,2
403,2,3
404,0,3
405,3,3
406,2,4
407,0,3
408,4,3
409,2,3
410,1,3
411,2,3
412,0,3
413,10,3
414,1,3
415,2,3
416,2,3
417,7,3
418,1,3
419,0,3
420,0,3
421,1,3
422,0,3
423,0,3
424,3,3
425,0,3
426,2,3
427,2,3
428,0,3
429,0,3
430,1,3
431,2,3
432,25,3
433,7,4
434,2,3
435,6,3
436,1,3
437,0,3
438,0,3
439,2,3
440,2,3
441,0,3
442,13,4
443,0,3
444,3,3
445,7,3
446,0,3
447,0,3
448,1,3
449,6,3
450,0,3
451,6,4
452,0,3
453,2,2
454,2,3
455,3,3
456,3,3
457,1,3
458,2,3
459,11,3
460,0,3
461,1,3
462,0,3
463,7,3
464,2,3
465,2,3
466,1,3
467,0,3
468,1,3
469,5,3
470,1,3
471,7,3
472,0,3
473,3,3
474,0,3
475,4,3
476,23,3
477,0,3
478,3,3
479,0,3
480,0,3
481,9,3
482,4,3
483,0,3
484,16,4
485,2,3
486,11,3
487,6,3
488,1,3
489,3,3
490,4,3
491,18,3
492,14,3
493,0,3
494,1,3
495,4,3
496,4,3
497,11,3
498,1,3
499,12,3
500,7,3
501,0,3
502,5,4
503,1,3
504,1,3
505,4,3
506,3,4
507,2,3
508,3,3
509,0,3
510,0,3
511,0,3
512,1,3
513,0,3
514,0,3
515,0,3
516,1,3
517,5,3
518,0,3
519,14,4
520,1,3
521,9,3
522,31,3
523,0,3
524,5,3
525,2,3
526,19,3
527,6,3
528,3,3
529,2,3
530,15,4
531,0,3
532,1,3
533,0,3
534,3,3
535,0,3
536,2,3
537,12,3
538,1,3
539,0,3
540,3,3
541,0,3
542,2,3
543,2,3
544,1,3
545,8,3
546,0,3
547,2,3
548,11,3
549,3,3
550,20,2
551,18,4
552,0,3
553,9,3
554,0,3
555,11,4
556,7,2
557,0,3
558,3,3
559,7,3
560,0,3
561,1,4
562,0,3
563,0,3
564,40,3
565,1,3
566,5,3
567,9,3
568,1,3
569,0,3
570,0,3
571,3,3
572,9,3
573,5,3
574,0,3
575,10,3
576,3,3
577,0,3
578,1,3
579,5,4
580,1,3
581,1,3
582,6,3
583,7,3
584,0,3
585,1,3
586,5,3
587,7,3
588,5,4
589,10,3
590,0,3
591,1,3
592,18,2
593,4,3
594,0,3
595,1,3
596,12,3
597,2,3
598,0,3
599,9,5
600,0,3
601,5,3
602,5,3
603,0,3
604,9,3
605,63,5
606,1,3
607,0,3
608,10,3
609,1,3
610,0,3
611,2,3
612,13,3
613,10,3
614,0,3
615,0,3
616,4,3
617,1,3
618,1,3
619,12,3
620,0,3
621,0,3
622,13,3
623,0,3
624,6,3
625,6,3
626,4,3
627,2,3
628,1,3
629,0,3
630,0,3
631,13,3
632,0,3
633,12,4
634,9,2
635,5,3
636,2,3
637,0,3
638,3,3
639,3,3
640,0,3
641,1,2
642,0,3
643,0,3
644,1,3
645,0,3
646,1,3
647,1,3
648,3,3
649,1,3
650,30,4
651,0,3
652,0,3
653,15,3
654,6,3
655,0,3
656,9,4
657,4,3
658,7,3
659,11,3
660,0,3
661,0,3
662,0,3
663,8,4
664,0,3
665,9,4
666,0,3
667,0,3
668,76,3
669,1,4
670,14,3
671,1,3
672,1,3
673,3,3
674,0,3
675,9,4
676,0,3
677,1,3
678,20,3
679,4,3
680,3,3
681,9,3
682,13,3
683,0,3
684,3,3
685,3,3
686,1,3
687,18,3
688,3,3
689,3,3
690,15,3
691,2,3
692,2,3
693,2,3
694,0,3
695,0,3
696,11,3
697,9,3
698,1,3
699,18,3
700,0,3
701,4,3
702,0,3
703,6,3
704,1,3
705,0,3
706,1,3
707,13,3
708,2,3
709,0,3
710,23,3
711,0,3
712,0,3
713,2,3
714,5,3
715,0,3
716,13,3
717,14,3
718,13,3
719,0,3
720,0,3
721,12,4
722,15,3
723,16,3
724,21,3
725,0,3
726,0,3
727,0,3
728,4,3
729,13,3
730,13,2
731,0,3
732,0,3
