attempt,turns,length
0,5,4
1,0,3
2,0,3
3,0,3
4,0,3
5,1,3
6,0,3
7,0,3
8,1,3
9,5,3
10,4,3
11,1,3
12,4,3
13,0,3
14,4,2
15,1,3
16,0,3
17,2,3
18,0,3
19,13,2
20,0,3
21,1,3
22,5,3
23,3,3
24,3,3
25,1,3
26,0,3
27,7,4
28,0,3
29,3,4
30,6,3
31,3,3
32,0,3
33,0,3
34,1,3
35,0,3
36,1,3
37,4,3
38,4,3
39,0,3
40,4,3
41,0,3
42,2,3
43,22,5
44,7,3
45,1,3
46,3,3
47,1,3
48,4,3
49,1,3
50,0,3
51,2,3
52,2,3
53,1,3
54,2,3
55,0,3
56,0,3
57,0,3
58,0,3
59,0,3
60,2,3
61,1,3
62,0,3
63,1,3
64,1,3
65,2,3
66,8,3
67,2,3
68,4,3
69,2,3
70,1,3
71,0,3
72,1,3
73,0,3
74,3,3
75,0,3
76,3,3
77,1,3
78,1,3
79,2,4
80,0,3
81,5,3
82,0,3
83,4,3
84,5,3
85,0,3
86,1,3
87,4,3
88,3,3
89,0,3
90,12,3
91,0,3
92,2,3
93,3,3
94,2,3
95,1,3
96,1,3
97,2,3
98,0,3
99,0,3
100,1,3
101,4,3
102,0,3
103,1,3
104,8,3
105,1,3
106,0,3
107,1,3
108,5,3
109,0,3
110,0,3
111,1,3
112,0,3
113,0,3
114,0,3
115,0,3
116,0,3
117,1,3
118,3,3
119,0,3
120,2,3
121,1,3
122,2,3
123,0,3
124,0,3
125,5,3
126,1,3
127,4,3
128,0,3
129,0,3
130,0,3
131,9,4
132,1,3
133,3,3
134,3,3
135,1,3
136,0,3
137,2,3
138,2,3
139,1,3
140,0,3
141,0,3
142,0,3
143,3,3
144,0,3
145,3,3
146,3,3
147,1,3
148,2,3
149,5,3
150,2,3
151,3,3
152,4,3
153,0,3
154,1,3
155,3,3
156,0,3
157,4,3
158,3,2
159,1,3
160,3,3
161,3,3
162,2,3
163,3,3
164,1,3
165,5,3
166,1,3
167,0,3
168,0,3
169,2,3
170,1,3
171,1,3
172,4,3
173,1,3
174,6,3
175,5,3
176,1,3
177,3,3
178,11,3
179,3,3
180,2,3
181,3,3
182,0,3
183,2,3
184,5,3
185,13,2
186,1,4
187,4,3
188,1,3
189,0,3
190,3,3
191,0,3
192,4,3
193,0,3
194,5,3
195,3,4
196,0,3
197,0,3
198,0,3
199,1,4
200,2,3
201,8,3
202,4,3
203,4,3
204,7,3
205,4,3
206,5,3
207,1,3
208,11,2
209,1,3
210,2,3
211,0,3
212,0,3
213,1,3
214,0,3
215,4,3
216,2,3
217,1,3
218,1,3
219,7,3
220,2,3
221,2,3
222,0,3
223,1,3
224,0,3
225,0,3
226,2,3
227,3,3
228,2,3
229,2,3
230,0,3
231,3,3
232,2,3
233,3,3
234,1,3
235,1,3
236,0,3
237,1,3
238,1,3
239,1,3
240,1,3
241,3,3
242,7,3
243,1,3
244,0,3
245,0,3
246,0,3
247,2,3
248,4,3
249,2,3
250,0,3
251,1,3
252,6,4
253,0,3
254,4,3
255,2,3
256,0,3
257,2,3
258,0,3
259,3,3
260,0,3
261,2,3
262,0,3
263,1,3
264,2,3
265,2,3
266,0,3
267,0,3
268,2,3
269,3,3
270,6,5
271,0,3
272,1,3
273,3,3
274,0,3
275,1,3
276,4,3
277,2,3
278,0,3
279,5,3
280,1,3
281,3,3
282,0,3
283,0,3
284,6,3
285,7,4
286,1,3
287,1,3
288,3,3
289,2,3
290,1,3
291,1,3
292,7,3
293,1,3
294,1,3
295,12,4
296,5,3
297,0,3
298,1,3
299,0,3
300,1,3
301,0,3
302,1,3
303,4,3
304,2,3
305,2,3
306,2,3
307,0,3
308,3,3
309,1,3
310,0,3
311,2,3
312,1,3
313,6,3
314,2,3
315,0,3
316,0,3
317,0,3
318,2,4
319,2,3
320,2,3
321,4,4
322,2,3
323,6,2
324,1,3
325,7,3
326,3,3
327,0,3
328,1,3
329,1,3
330,1,3
331,0,3
332,2,3
333,0,3
334,3,3
335,0,3
336,2,3
337,0,3
338,2,3
339,1,3
340,2,3
341,3,3
342,0,3
343,3,3
344,4,3
345,3,3
346,0,3
347,1,3
348,2,3
349,0,3
350,0,3
351,0,3
352,0,3
353,0,3
354,4,3
355,2,3
356,5,3
357,4,3
358,4,3
359,0,3
360,5,2
361,2,3
362,0,3
363,2,3
364,2,3
365,0,3
366,4,3
367,2,3
368,3,3
369,0,3
370,1,3
371,1,3
372,0,3
373,3,3
374,1,3
375,0,3
376,0,3
377,4,3
378,6,5
379,1,3
380,0,3
381,1,3
382,1,3
383,0,3
384,3,3
385,2,3
386,0,3
387,0,3
388,0,3
389,0,3
390,0,3
391,0,3
392,11,4
393,3,3
394,0,3
395,0,3
396,1,3
397,7,3
398,1,3
399,3,3
400,3,3
401,1,3
402,8,3
403,2,3
404,2,3
405,0,3
406,4,3
407,5,3
408,1,3
409,8,3
410,0,3
411,3,3
412,1,3
413,2,3
414,1,3
415,4,3
416,0,3
417,2,3
