attempt,turns,length
0,0,3
1,0,3
2,0,3
3,1,3
4,5,3
5,0,3
6,5,3
7,2,3
8,4,3
9,2,3
10,2,3
11,1,3
12,1,3
13,1,3
14,1,3
15,6,3
16,1,3
17,1,3
18,3,3
19,15,3
20,4,3
21,0,3
22,7,3
23,0,3
24,1,3
25,0,3
26,6,3
27,1,3
28,8,3
29,2,3
30,4,3
31,6,3
32,0,3
33,5,3
34,0,3
35,0,3
36,2,3
37,2,3
38,0,3
39,0,3
40,4,3
41,0,3
42,0,3
43,2,3
44,0,3
45,3,3
46,1,3
47,0,3
48,1,3
49,1,3
50,3,3
51,2,3
52,0,3
53,0,3
54,3,3
55,5,3
56,6,3
57,3,3
58,2,3
59,4,3
60,2,3
61,2,3
62,0,3
63,6,4
64,1,3
65,0,3
66,1,3
67,2,3
68,0,3
69,0,3
70,2,3
71,1,3
72,4,3
73,1,3
74,2,3
75,11,3
76,1,3
77,1,3
78,3,3
79,0,3
80,1,3
81,1,3
82,2,3
83,4,3
84,0,3
85,1,3
86,2,2
87,1,3
88,1,3
89,0,3
90,0,3
91,0,3
92,0,3
93,4,4
94,1,3
95,0,3
96,1,3
97,1,3
98,12,3
99,3,4
100,0,3
101,9,3
102,2,4
103,0,3
104,0,3
105,0,3
106,6,5
107,2,3
108,1,3
109,10,2
110,0,3
111,12,3
112,4,3
113,1,3
114,0,3
115,0,3
116,2,3
117,3,3
118,2,3
119,1,3
120,0,3
121,1,3
122,2,3
123,3,3
124,1,3
125,6,3
126,0,3
127,2,4
128,3,3
129,0,3
130,0,3
131,5,3
132,3,3
133,1,3
134,9,3
135,4,3
136,3,3
137,0,3
138,0,3
139,4,3
140,1,3
141,0,3
142,5,3
143,0,3
144,3,4
145,0,3
146,1,4
147,1,3
148,5,3
149,2,3
150,0,3
151,0,3
152,0,3
153,3,3
154,0,3
155,1,3
156,0,3
157,3,3
158,0,3
159,0,3
160,0,3
161,0,3
162,3,3
163,4,3
164,2,3
165,0,3
166,2,3
167,3,3
168,4,3
169,1,3
170,6,3
171,0,3
172,1,3
173,2,3
174,0,3
175,0,3
176,1,3
177,5,3
178,1,3
179,3,3
180,0,3
181,1,3
182,5,3
183,1,3
184,2,3
185,4,3
186,5,3
187,0,3
188,1,3
189,7,3
190,4,3
191,0,3
192,3,3
193,2,3
194,2,3
195,2,3
196,3,3
197,4,3
198,0,3
199,1,3
200,10,3
201,0,3
202,3,3
203,0,3
204,0,3
205,1,3
206,6,3
207,4,4
208,0,3
209,0,3
210,2,3
211,0,3
212,3,3
213,0,3
214,3,3
215,2,3
216,8,3
217,0,3
218,1,3
219,0,3
220,2,3
221,1,3
222,3,3
223,0,3
224,0,3
225,1,3
226,0,3
227,3,3
228,1,3
229,0,3
230,0,3
231,7,4
232,2,3
233,4,3
234,4,3
235,0,3
236,0,3
237,0,3
238,4,4
239,13,3
240,1,3
241,2,3
242,1,3
243,5,3
244,0,3
245,0,3
246,0,3
247,0,3
248,5,3
249,0,3
250,0,3
251,1,3
252,3,3
253,3,3
254,3,3
255,10,3
256,0,3
257,7,3
258,0,3
259,1,3
260,7,3
261,2,3
262,0,3
263,5,2
264,1,3
265,2,3
266,0,3
267,0,3
268,0,3
269,6,4
270,0,3
271,0,3
272,2,3
273,6,3
274,0,3
275,3,3
276,0,3
277,6,3
278,0,3
279,1,3
280,0,3
281,5,3
282,1,3
283,0,3
284,0,3
285,0,3
286,2,3
287,3,3
288,5,3
289,1,4
290,2,3
291,0,3
292,0,3
293,0,3
294,0,3
295,0,3
296,1,3
297,0,3
298,1,3
299,0,3
300,6,3
301,0,3
302,0,3
303,1,3
304,2,3
305,0,3
306,3,3
307,1,4
308,3,3
309,1,3
310,0,3
311,0,3
312,0,3
313,5,4
314,0,3
315,6,3
316,3,3
317,1,3
318,2,3
319,4,3
320,0,3
321,0,3
322,0,3
323,1,3
324,1,3
325,6,3
326,2,3
327,0,3
328,1,3
329,0,3
330,0,3
331,9,3
332,6,4
333,3,3
334,0,3
335,1,3
336,4,3
337,1,3
338,6,3
339,0,3
340,1,3
341,2,3
342,0,3
343,0,3
344,7,3
345,0,3
346,0,3
347,0,3
348,0,3
349,0,3
350,1,3
351,4,3
352,1,3
353,5,3
354,3,3
355,3,3
356,1,3
357,0,3
358,2,3
359,1,3
360,3,3
361,0,3
362,3,3
363,1,3
364,2,3
365,0,3
366,5,3
367,7,3
368,0,3
369,0,3
370,10,5
371,2,3
372,0,3
373,1,3
374,3,3
375,0,3
376,0,3
377,1,3
378,7,2
379,4,3
380,0,3
381,5,3
382,7,3
383,4,3
384,5,3
385,0,3
386,0,3
387,0,3
388,5,3
389,2,2
390,3,3
391,0,3
392,1,3
393,0,3
394,2,3
395,0,3
396,1,3
397,1,3
398,7,4
399,7,3
400,2,3
401,2,3
402,1,3
403,0,3
404,1,4
405,2,3
406,2,3
407,2,3
408,0,3
409,2,3
410,3,3
411,0,3
412,2,3
413,5,4
414,3,3
415,1,3
416,6,3
417,2,3
418,6,3
419,2,3
420,2,3
421,2,3
422,2,3
423,2,3
424,9,3
425,9,3
426,0,3
427,3,3
428,0,3
429,1,3
430,1,3
431,0,3
432,5,3
433,3,3
434,1,4
435,1,3
436,0,3
437,2,3
438,0,3
439,8,3
440,0,3
441,2,3
442,1,3
443,0,3
444,1,3
445,1,3
446,0,3
447,0,3
448,0,3
449,2,3
450,1,3
451,4,3
452,9,3
453,1,3
454,0,3
455,3,3
456,1,3
457,0,3
458,3,3
459,0,3
460,3,3
461,2,3
462,1,3
463,0,3
464,0,3
465,1,3
466,1,4
467,1,3
468,1,3
469,0,3
470,4,4
471,0,3
472,0,3
473,1,3
474,2,4
475,1,3
476,3,4
477,2,2
478,4,3
479,3,3
480,5,3
481,3,3
482,2,4
483,0,3
484,3,3
485,2,3
486,0,3
487,1,3
488,6,3
489,1,3
490,1,3
491,2,3
492,0,3
493,1,3
494,3,3
495,1,3
496,4,4
497,0,3
498,1,3
499,7,4
500,2,3
501,4,3
502,0,3
503,4,3
504,0,3
505,1,3
506,4,3
507,0,3
508,0,3
509,5,3
510,0,3
511,2,3
512,6,3
513,1,3
514,2,3
515,0,3
516,0,3
517,0,3
518,0,3
519,2,3
520,0,3
521,2,2
522,3,4
523,0,3
524,2,3
525,0,3
526,0,3
527,1,3
528,0,3
529,4,3
530,0,3
531,1,3
532,3,3
533,3,3
534,6,3
535,1,3
536,0,3
537,3,4
538,0,3
539,0,3
540,1,2
541,3,3
542,4,3
543,0,3
544,3,2
545,0,3
546,7,3
547,1,3
548,2,3
549,1,3
550,0,3
551,2,3
552,0,3
553,0,3
554,2,3
555,0,3
556,6,2
557,1,3
558,0,3
559,3,3
560,0,3
561,1,3
562,0,3
563,10,3
564,8,3
565,0,3
566,0,3
567,5,3
568,0,3
569,4,3
570,5,3
571,2,3
572,6,3
573,6,3
574,0,3
575,0,3
576,14,3
577,0,3
578,0,3
579,0,3
580,6,3
581,1,3
582,2,4
583,5,3
584,6,3
585,1,3
586,0,3
587,5,3
588,1,3
589,1,3
590,3,4
591,0,3
592,0,3
593,4,3
594,3,3
595,1,3
596,0,3
597,0,3
598,3,3
599,1,3
600,0,3
601,0,3
602,0,3
603,1,3
604,3,3
605,1,3
606,14,4
607,0,3
608,4,3
609,0,3
610,0,3
611,6,3
612,0,3
613,0,3
614,1,3
615,0,3
616,1,3
617,0,3
618,1,3
619,1,3
620,3,3
621,3,4
622,1,3
623,1,3
624,1,3
625,2,3
626,0,3
627,6,4
628,1,3
629,0,3
630,1,4
631,0,3
632,0,3
633,4,3
634,8,3
635,0,3
636,0,3
637,1,3
638,1,3
639,3,3
640,2,3
641,3,3
642,5,3
643,0,3
644,0,3
645,0,3
646,2,3
647,11,3
648,3,3
649,4,3
650,10,4
651,3,3
652,7,3
653,1,3
654,7,4
655,4,3
656,0,3
657,3,3
658,2,3
659,1,3
660,0,3
661,0,3
662,0,3
663,2,3
664,1,3
665,6,2
666,0,3
667,0,3
668,0,3
669,6,3
670,0,3
671,0,3
672,4,3
673,1,3
674,5,3
675,7,3
676,0,3
677,1,3
678,3,3
679,3,3
680,5,3
681,2,3
682,1,3
683,1,3
684,3,3
685,1,4
686,0,3
687,0,3
688,0,3
689,3,4
690,0,3
691,5,3
692,2,3
693,4,3
694,1,3
695,5,3
696,0,3
697,6,3
698,0,3
699,4,3
700,0,3
701,4,3
702,1,3
703,0,3
704,10,4
705,0,3
706,7,3
707,2,3
708,9,3
709,2,3
710,1,3
711,2,3
712,10,4
713,0,3
714,0,3
715,1,3
716,5,3
717,4,3
718,1,3
719,6,3
720,0,3
721,7,2
722,1,3
723,0,3
724,0,3
725,2,3
726,3,3
727,1,3
728,2,3
729,4,2
730,0,3
731,2,3
732,1,3
