attempt,turns,length
0,0,3
1,7,3
2,0,3
3,0,3
4,1,3
5,0,3
6,3,3
7,3,4
8,0,3
9,0,3
10,5,3
11,2,3
12,3,2
13,0,3
14,1,3
15,5,4
16,1,3
17,2,3
18,3,3
19,0,3
20,0,3
21,6,3
22,0,3
23,0,3
24,2,3
25,1,3
26,0,3
27,2,3
28,1,3
29,2,3
30,2,3
31,13,3
32,4,3
33,0,3
34,3,3
35,0,3
36,5,2
37,5,3
38,0,3
39,7,3
40,1,3
41,3,3
42,0,3
43,0,3
44,0,3
45,0,3
46,2,3
47,5,3
48,2,3
49,8,3
50,1,3
51,3,3
52,0,3
53,0,3
54,5,3
55,2,4
56,2,2
57,10,3
58,0,3
59,1,3
60,10,4
61,6,3
62,2,3
63,0,3
64,3,3
65,2,3
66,5,3
67,2,3
68,2,3
69,3,3
70,0,3
71,0,3
72,0,3
73,2,3
74,3,3
75,0,3
76,0,3
77,0,3
78,3,3
79,0,3
80,2,3
81,6,3
82,4,3
83,3,3
84,0,3
85,0,3
86,0,3
87,0,3
88,1,3
89,1,3
90,0,3
91,0,3
92,10,3
93,2,3
94,0,3
95,3,3
96,7,3
97,3,4
98,1,3
99,10,3
100,0,3
101,1,3
102,0,3
103,0,3
104,1,3
105,2,3
106,4,3
107,4,3
108,1,3
109,0,3
110,3,3
111,0,3
112,0,3
113,2,3
114,1,3
115,8,3
116,0,3
117,4,3
118,0,3
119,2,4
120,0,3
121,0,3
122,1,3
123,5,3
124,1,3
125,1,3
126,6,3
127,0,3
128,1,3
129,5,3
130,0,3
131,1,3
132,1,3
133,3,3
134,1,3
135,1,3
136,2,4
137,6,3
138,0,3
139,13,3
140,0,3
141,3,3
142,2,4
143,1,3
144,2,3
145,0,3
146,6,3
147,4,3
148,0,3
149,1,3
150,1,3
151,3,3
152,2,3
153,2,3
154,2,3
155,5,3
156,2,3
157,2,3
158,0,3
159,2,3
160,8,3
161,1,3
162,0,3
163,3,3
164,1,3
165,0,3
166,1,3
167,7,4
168,2,3
169,2,3
170,1,3
171,1,3
172,0,3
173,0,3
174,2,3
175,0,3
176,4,4
177,3,3
178,0,3
179,1,3
180,1,3
181,1,3
182,2,3
183,1,3
184,8,3
185,0,3
186,0,3
187,0,3
188,5,3
189,1,3
190,0,3
191,0,3
192,1,3
193,2,3
194,3,3
195,10,3
196,1,3
197,0,3
198,13,3
199,4,3
200,4,3
201,4,3
202,2,3
203,6,3
204,0,3
205,3,4
206,4,2
207,1,3
208,1,3
209,1,3
210,2,3
211,6,3
212,10,3
213,3,2
214,1,3
215,0,3
216,2,3
217,1,3
218,5,3
219,2,3
220,3,3
221,1,4
222,2,3
223,0,3
224,0,3
225,3,3
226,0,3
227,1,3
228,1,3
229,1,3
230,0,3
231,1,3
232,1,3
233,0,3
234,0,3
235,0,3
236,0,3
237,1,3
238,0,3
239,1,3
240,1,3
241,3,3
242,0,3
243,0,3
244,3,4
245,1,3
246,0,3
247,9,3
248,3,3
249,0,3
250,0,3
251,1,3
252,5,3
253,3,3
254,3,3
255,7,3
256,1,3
257,6,3
258,7,3
259,0,3
260,1,3
261,1,3
262,0,3
263,1,3
264,4,3
265,0,3
266,4,3
267,3,3
268,1,3
269,0,3
270,2,3
271,3,3
272,1,3
273,2,3
274,4,3
275,0,3
276,2,3
277,1,3
278,1,3
279,11,3
280,0,3
281,3,3
282,1,3
283,2,3
284,0,3
285,4,3
286,1,4
287,2,3
288,3,3
289,6,3
290,0,3
291,4,3
292,4,3
293,5,3
294,0,3
295,0,3
296,1,3
297,5,3
298,3,3
299,9,3
300,2,3
301,0,3
302,0,3
303,0,3
304,0,3
305,2,3
306,3,3
307,0,3
308,14,2
309,1,3
310,1,3
311,2,3
312,2,3
313,0,3
314,0,3
315,0,3
316,0,3
317,1,3
318,2,3
319,0,3
320,1,3
321,1,3
322,9,2
323,4,3
324,0,3
325,6,3
326,1,3
327,0,3
328,1,3
329,3,3
330,0,3
331,0,3
332,1,3
333,4,3
334,0,3
335,0,3
336,3,3
337,0,3
338,1,3
339,0,3
340,2,3
341,1,3
342,2,2
343,3,4
344,9,4
345,6,3
346,3,3
347,0,3
348,3,3
349,0,3
350,0,3
351,1,3
352,3,3
353,2,4
354,2,3
355,0,3
356,1,3
357,4,4
358,2,3
359,3,3
360,6,3
