attempt,turns,length
0,4,3
1,0,3
2,4,3
3,2,3
4,4,3
5,2,3
6,0,3
7,3,3
8,0,3
9,0,3
10,0,3
11,1,3
12,0,3
13,3,3
14,0,3
15,0,3
16,0,3
17,2,3
18,0,3
19,1,3
20,7,3
21,0,3
22,1,3
23,4,3
24,3,3
25,1,3
26,1,3
27,0,3
28,2,4
29,1,3
30,4,3
31,3,3
32,0,3
33,0,3
34,4,3
35,2,3
36,0,3
37,7,2
38,2,3
39,0,3
40,13,3
41,0,3
42,2,4
43,0,3
44,2,3
45,0,3
46,2,3
47,1,3
48,0,3
49,0,3
50,1,3
51,0,3
52,7,3
53,1,3
54,2,3
55,0,3
56,2,3
57,1,3
58,4,3
59,2,3
60,0,3
61,15,3
62,0,3
63,0,3
64,1,3
65,0,3
66,3,3
67,1,3
68,0,3
69,0,3
70,5,3
71,8,4
72,3,3
73,0,3
74,1,4
75,1,3
76,3,3
77,3,3
78,1,3
79,0,3
80,0,3
81,0,3
82,1,3
83,0,3
84,3,3
85,0,3
86,0,3
87,7,3
88,4,3
89,1,3
90,0,3
91,0,3
92,2,3
93,1,3
94,0,3
95,1,3
96,2,3
97,0,3
98,1,3
99,0,3
100,3,3
101,5,3
102,0,3
103,3,3
104,7,3
105,0,3
106,4,3
107,0,3
108,1,3
109,1,3
110,0,3
111,2,3
112,4,3
113,0,3
114,4,4
115,3,3
116,1,3
117,1,3
118,0,3
119,0,3
120,1,3
121,0,3
122,12,3
123,2,3
124,1,3
125,6,3
126,3,3
127,3,4
128,1,3
129,0,3
130,0,3
131,1,3
132,6,3
133,7,3
134,3,3
135,6,2
136,1,3
137,2,3
138,22,4
139,1,3
140,0,3
141,1,4
142,6,3
143,5,3
144,0,3
145,4,3
146,1,3
147,0,3
148,0,3
149,0,3
150,0,3
151,1,3
152,6,3
153,2,4
154,4,3
155,2,3
156,4,2
157,3,3
158,3,3
159,1,3
160,2,3
161,3,3
162,3,3
163,3,3
164,1,3
165,0,3
166,4,3
167,0,3
168,0,3
169,1,3
170,0,3
171,1,3
172,2,3
173,1,3
174,5,4
175,0,3
176,0,3
177,1,3
178,1,3
179,6,3
180,1,3
181,2,3
182,2,3
183,0,3
184,1,3
185,0,3
186,5,3
187,1,3
188,1,3
189,3,3
190,0,3
191,0,3
192,0,3
193,8,3
194,4,4
195,0,3
196,1,3
197,2,3
198,2,3
199,1,3
200,10,3
201,3,4
202,0,3
203,0,3
204,5,3
205,0,3
206,2,3
207,0,3
208,4,3
209,2,3
210,0,3
211,0,3
212,0,3
213,8,3
214,0,3
215,0,3
216,1,3
217,0,3
218,0,3
219,4,3
220,6,3
221,5,3
222,0,3
223,0,3
224,1,3
225,2,3
226,0,3
227,7,4
228,0,3
229,1,3
230,0,3
231,3,3
232,1,3
233,1,3
234,5,3
235,0,3
236,4,3
237,1,3
238,2,3
239,5,3
240,0,3
241,0,3
242,0,3
243,2,3
244,0,3
245,0,3
246,1,3
247,1,3
248,0,3
249,2,3
250,7,3
251,2,3
252,1,3
253,3,3
254,0,3
255,0,3
256,1,3
257,0,3
258,5,3
259,2,3
260,0,3
261,1,3
262,1,3
263,4,3
264,1,3
265,0,3
266,2,3
267,0,3
268,1,3
269,1,3
270,0,3
271,12,3
272,2,2
273,0,3
274,3,3
275,1,3
276,2,3
277,3,3
278,9,4
279,5,3
280,0,3
281,1,3
282,3,3
283,1,3
284,0,3
285,1,3
286,6,3
287,4,3
288,0,3
289,2,3
290,7,3
291,0,3
292,1,3
293,1,3
294,0,3
295,0,3
296,3,3
297,2,3
298,4,3
299,1,3
300,0,3
301,4,4
302,0,3
303,6,3
304,0,3
305,1,3
306,1,3
307,1,3
308,1,3
309,5,3
310,1,3
311,0,3
312,2,3
313,1,3
314,0,3
315,17,3
316,3,3
317,2,2
318,2,3
319,1,3
320,2,3
321,6,3
322,2,3
323,1,3
324,8,3
325,1,3
326,4,3
327,4,3
328,0,3
329,0,3
330,0,3
331,2,3
332,2,3
333,4,2
334,2,3
335,3,3
336,6,3
337,3,3
338,1,3
339,0,3
340,0,3
341,2,3
342,1,3
343,1,3
344,8,3
345,3,3
346,0,3
347,9,2
348,7,3
349,0,3
350,3,3
351,1,3
352,0,3
353,2,3
354,0,3
355,0,3
356,1,3
357,1,3
358,0,3
359,1,3
360,0,3
361,1,3
362,1,3
363,8,3
364,6,3
365,0,3
366,0,3
367,2,3
368,1,3
369,3,3
370,1,3
371,4,3
372,0,3
373,4,3
374,2,3
375,0,3
376,2,3
377,0,3
378,5,3
379,2,3
380,0,3
381,0,3
382,0,3
383,3,3
384,1,3
385,1,3
386,1,3
387,1,3
388,1,3
389,0,3
390,0,3
391,4,3
392,0,3
393,0,3
394,5,4
395,4,3
396,0,3
397,3,3
398,0,3
399,1,3
400,4,3
401,2,2
402,5,3
403,0,3
404,5,3
405,0,3
406,0,3
407,4,3
408,0,3
409,0,3
410,1,3
411,0,3
412,1,3
413,3,3
414,1,3
415,2,3
416,1,3
417,3,3
418,0,3
419,0,3
420,1,3
421,1,3
422,4,3
423,0,3
424,6,3
425,3,3
426,0,3
427,8,2
428,4,4
429,3,3
430,0,3
431,2,3
432,3,3
433,0,3
434,0,3
435,0,3
436,2,3
437,0,3
438,1,3
439,0,3
440,1,3
441,1,3
442,3,3
443,4,3
444,3,3
445,8,3
446,6,3
447,0,3
448,7,3
449,6,3
450,4,3
451,1,3
452,3,3
453,5,3
454,4,3
455,0,3
456,4,3
457,0,3
458,0,3
459,2,3
460,1,3
461,6,4
462,8,3
463,0,3
464,0,3
465,0,3
466,0,3
467,4,3
468,0,3
469,0,3
470,7,3
471,3,3
472,1,3
473,0,3
474,1,3
475,1,3
476,1,3
477,3,3
478,1,4
479,5,3
480,1,3
481,0,3
482,0,3
483,1,3
484,1,3
485,0,3
486,11,5
487,2,3
488,0,3
489,2,3
490,2,3
491,7,3
492,1,3
493,3,3
494,1,3
495,6,3
496,0,3
497,0,3
498,5,3
499,3,3
500,1,3
501,0,3
502,6,3
503,2,3
504,1,3
505,1,4
506,0,3
507,0,3
508,0,3
509,2,3
510,2,3
511,2,3
512,0,3
513,1,3
514,2,3
515,1,3
516,1,3
517,4,4
518,0,3
519,0,3
520,5,3
521,6,3
522,0,3
523,1,4
524,1,3
525,1,3
526,0,3
527,0,3
528,3,4
529,3,3
530,4,3
531,4,3
532,2,2
533,5,3
534,6,3
535,2,3
536,3,3
537,0,3
538,2,3
539,1,3
540,0,3
541,2,3
542,1,3
543,1,3
544,2,3
545,4,3
546,0,3
547,10,3
548,1,3
549,0,3
550,0,3
551,0,3
552,3,3
553,3,3
554,0,3
555,7,3
556,2,3
557,5,3
558,5,3
559,1,3
560,0,3
561,3,3
562,2,3
563,0,3
564,4,3
565,0,3
566,3,3
567,0,3
568,2,3
569,0,3
570,1,3
571,0,3
572,0,3
573,0,3
574,5,3
575,4,3
576,2,3
577,2,3
578,0,3
579,10,3
580,1,3
581,0,3
582,0,3
583,0,3
584,2,2
585,1,3
586,3,3
587,1,3
588,0,3
589,0,3
590,7,3
591,2,3
592,1,3
593,1,3
594,3,3
595,5,3
596,1,3
597,0,3
598,2,3
599,5,3
600,3,3
601,8,2
602,4,3
603,4,3
604,1,3
605,2,4
606,4,3
607,4,3
608,5,3
609,0,3
610,0,3
611,1,4
612,10,3
613,0,3
614,1,3
615,3,3
616,1,3
617,0,3
618,4,3
619,0,3
620,0,3
621,1,3
622,3,3
623,1,3
624,0,3
625,1,3
626,1,3
627,3,3
628,4,3
629,1,3
630,2,3
631,3,3
632,4,3
633,0,3
634,4,3
635,0,3
636,0,3
637,0,3
638,2,3
639,2,3
640,1,3
641,0,3
642,4,3
643,0,3
644,1,3
645,0,3
646,0,3
647,0,3
648,0,3
649,4,3
650,0,3
651,2,3
652,0,3
653,0,3
654,1,3
655,1,3
656,0,3
657,2,3
658,0,3
659,0,3
