attempt,turns,length
0,1,3
1,0,3
2,3,3
3,7,3
4,0,3
5,3,3
6,0,3
7,0,3
8,5,3
9,2,3
10,0,3
11,5,4
12,0,3
13,2,3
14,5,3
15,1,3
16,0,3
17,3,3
18,2,3
19,0,3
20,5,3
21,0,3
22,2,3
23,1,3
24,0,3
25,2,3
26,0,3
27,8,3
28,3,3
29,5,3
30,2,3
31,0,3
32,0,3
33,2,4
34,3,3
35,2,3
36,0,3
37,3,3
38,2,3
39,3,3
40,0,3
41,0,3
42,5,3
43,0,3
44,1,3
45,0,3
46,3,3
47,0,3
48,2,3
49,0,3
50,0,3
51,2,3
52,0,3
53,1,3
54,0,3
55,0,3
56,0,3
57,3,3
58,6,3
59,0,3
60,0,3
61,2,3
62,0,3
63,1,3
64,9,3
65,1,3
66,0,3
67,4,3
68,10,3
69,0,3
70,0,3
71,11,3
72,2,3
73,2,4
74,0,3
75,1,3
76,0,3
77,8,4
78,9,3
79,1,3
80,0,3
81,0,3
82,1,3
83,1,3
84,1,3
85,1,3
86,5,2
87,1,3
88,3,3
89,1,3
90,2,3
91,4,3
92,2,3
93,0,3
94,4,3
95,3,3
96,4,3
97,0,3
98,7,3
99,0,3
100,5,3
101,0,3
102,2,3
103,2,3
104,6,3
105,1,3
106,1,3
107,6,4
108,1,3
109,0,3
110,3,3
111,5,3
112,1,3
113,4,3
114,1,3
115,3,3
116,4,3
117,0,3
118,1,3
119,2,3
120,1,3
121,1,3
122,4,3
123,4,3
124,0,3
125,0,3
126,1,3
127,2,3
128,0,3
129,1,3
130,0,3
131,0,3
132,3,3
133,1,3
134,2,3
135,3,3
136,0,3
137,2,3
138,1,3
139,0,3
140,0,3
141,0,3
142,2,3
143,2,3
144,0,3
145,0,3
146,1,3
147,0,3
148,6,3
149,0,3
150,0,3
151,0,3
152,0,3
153,1,3
154,0,3
155,1,3
156,6,3
157,0,3
158,2,3
159,8,3
160,0,3
161,1,3
162,2,3
163,5,3
164,0,3
165,24,3
166,1,2
167,3,3
168,1,3
169,0,3
170,4,3
171,0,3
172,2,3
173,0,3
174,2,3
175,3,3
176,1,3
177,0,3
178,6,3
179,2,3
180,0,3
181,0,3
182,4,4
183,3,3
184,2,3
185,4,3
186,1,3
187,6,2
188,5,3
189,0,3
190,3,3
191,1,2
192,5,3
193,0,3
194,2,3
195,0,3
196,15,3
197,1,3
198,4,4
199,1,3
200,3,3
201,2,3
202,5,3
203,6,3
204,0,3
205,0,3
206,1,3
207,0,3
208,0,3
209,1,4
210,2,3
211,4,3
212,0,3
213,0,3
214,2,3
215,5,4
216,1,3
217,1,3
218,3,3
219,6,3
220,1,3
221,0,3
222,2,3
223,3,3
224,4,2
225,0,3
226,2,3
227,0,3
228,2,3
229,0,3
230,2,3
231,0,3
232,2,3
233,0,3
234,8,3
235,7,3
236,0,3
237,0,3
238,3,3
239,2,3
240,3,3
241,3,3
242,0,3
243,1,3
244,1,3
245,7,3
246,0,3
247,0,3
248,0,3
249,7,3
250,1,3
251,2,3
252,0,3
253,1,3
254,7,3
255,2,3
256,3,3
257,0,3
258,1,3
259,0,3
260,2,4
261,0,3
262,1,3
263,4,3
264,3,3
265,4,3
266,2,3
267,2,3
268,0,3
269,3,3
270,1,3
271,1,3
272,0,3
273,0,3
274,1,3
275,3,3
276,2,3
277,0,3
278,0,3
279,4,3
280,6,3
281,6,4
282,0,3
283,0,3
284,0,3
285,2,3
286,5,3
287,3,3
288,0,3
289,0,3
290,8,4
291,0,3
292,0,3
293,1,3
294,6,3
295,0,3
296,4,3
297,0,3
298,0,3
299,0,3
300,4,3
301,1,3
302,0,3
303,1,3
304,0,3
305,0,3
306,2,3
307,0,3
308,2,3
309,14,3
310,1,3
311,0,3
312,0,3
313,1,3
314,2,4
315,1,3
316,1,3
317,3,3
318,2,3
319,0,3
320,1,3
321,1,3
322,1,3
323,8,3
324,0,3
325,0,3
326,2,3
327,0,3
328,5,3
329,0,3
330,6,3
331,6,3
332,1,3
333,7,3
334,0,3
335,0,3
336,3,4
337,3,3
338,4,3
339,3,3
340,0,3
341,0,3
342,0,3
343,5,3
344,1,4
345,0,3
346,1,3
347,0,3
348,0,3
349,3,3
350,3,3
351,1,3
352,1,3
353,5,3
354,0,3
355,1,3
356,3,3
357,3,3
358,0,3
359,9,3
360,0,3
361,1,3
362,0,3
363,3,3
364,0,3
365,3,3
366,9,3
367,2,3
368,0,3
369,12,3
370,5,4
371,5,3
372,3,3
373,1,3
374,0,3
375,0,3
376,1,3
377,1,3
378,3,3
379,0,3
380,2,3
381,0,3
382,2,3
383,0,3
384,0,3
385,1,3
386,5,3
387,8,3
388,1,3
389,7,3
390,5,3
391,1,3
392,2,3
393,2,3
394,0,3
395,0,3
396,4,2
397,6,3
398,4,3
399,0,3
400,4,3
401,0,3
402,0,3
403,2,3
404,6,3
405,5,3
406,0,3
407,8,2
408,0,3
409,2,3
410,0,3
411,0,3
412,1,3
413,0,3
414,0,3
415,0,3
416,4,3
417,0,3
418,0,3
419,1,3
420,4,3
421,0,3
422,2,3
423,8,3
424,0,3
425,7,3
426,0,3
427,1,3
428,3,3
429,2,3
430,2,3
431,0,3
432,1,3
433,1,3
434,0,3
435,3,3
436,2,4
437,2,3
438,3,3
439,0,3
440,0,3
441,0,3
442,0,3
443,0,3
444,1,3
445,6,3
446,1,3
447,2,3
448,0,3
449,2,4
450,17,3
451,0,3
452,0,3
453,0,3
454,0,3
455,1,3
456,0,3
457,4,3
458,2,3
459,0,3
460,0,3
461,0,3
462,5,4
463,0,3
464,3,3
465,1,3
466,0,3
467,2,3
468,5,3
469,1,3
470,1,3
471,3,3
472,0,3
473,6,3
474,6,3
475,1,3
476,3,3
477,6,3
478,4,3
479,0,3
480,2,3
481,0,3
482,2,3
483,5,3
484,2,3
485,2,3
486,0,3
487,0,3
488,2,3
489,0,3
490,0,3
491,2,3
492,2,3
493,1,3
494,10,3
495,2,3
496,4,3
497,1,3
498,1,3
499,0,3
500,0,3
501,1,3
502,2,3
503,3,3
504,14,2
505,2,3
506,0,3
507,2,3
508,6,3
509,1,3
510,0,3
511,5,3
512,4,3
513,2,3
514,0,3
515,2,3
516,1,3
517,0,3
518,0,3
519,2,3
520,1,3
521,0,3
522,1,3
523,0,3
524,3,3
525,0,3
526,3,3
527,6,2
528,4,3
529,0,3
530,1,3
531,0,3
532,1,3
533,4,3
534,6,3
535,1,3
536,0,3
537,5,4
538,6,3
539,9,3
540,1,3
541,2,3
542,2,3
543,6,3
544,2,3
545,2,3
546,6,3
547,0,3
548,0,3
549,0,3
550,1,3
551,1,3
552,0,3
553,0,3
554,6,3
555,1,2
556,5,3
557,7,3
558,2,3
559,0,3
560,1,3
561,1,3
562,2,3
563,0,3
564,2,3
565,0,3
566,1,3
567,1,3
568,2,3
569,0,3
570,0,3
571,0,3
572,0,3
573,0,3
574,0,3
575,1,3
576,0,3
577,3,3
578,0,3
579,4,3
580,0,3
581,1,3
582,0,3
583,0,3
584,2,3
585,0,3
586,2,3
587,0,3
588,0,3
589,0,3
590,2,3
591,1,3
592,0,3
593,1,3
594,6,3
595,4,3
596,0,3
597,2,3
598,2,3
599,7,3
600,0,3
601,2,3
602,3,3
603,0,3
604,10,3
605,6,2
606,0,3
607,0,3
608,1,3
609,2,3
610,2,3
611,0,3
612,5,4
613,4,3
614,2,4
615,0,3
616,1,3
617,0,3
618,1,3
619,1,3
620,2,3
621,4,3
622,4,3
623,0,3
624,0,3
625,0,3
626,3,3
627,0,3
628,1,3
629,2,3
630,6,3
631,0,3
632,2,3
633,4,3
634,3,3
635,2,3
636,2,3
637,1,3
638,2,3
639,5,3
640,2,3
641,0,3
642,0,3
643,1,3
644,2,3
645,2,3
646,0,3
647,5,3
648,11,3
649,1,3
650,0,3
651,3,3
652,4,4
653,3,3
654,0,3
655,3,3
656,0,3
657,0,3
658,0,3
659,0,3
660,1,3
661,4,3
662,1,3
663,1,3
664,2,3
665,0,3
666,4,3
667,1,3
668,1,2
669,1,3
670,0,3
671,3,3
672,0,3
673,0,3
674,3,3
675,1,3
676,0,3
677,1,3
678,6,3
679,0,3
680,0,3
681,0,3
682,0,3
683,4,3
684,3,3
685,0,3
686,0,3
687,0,3
688,0,3
689,0,3
690,1,3
691,2,3
692,1,3
693,3,3
694,0,3
695,1,3
696,3,3
697,0,3
698,0,3
699,0,3
700,0,3
701,3,3
702,0,3
703,0,3
704,1,3
705,7,4
706,4,3
707,2,3
708,1,3
709,1,3
710,0,3
711,3,3
712,2,2
713,0,3
714,1,3
715,2,3
716,0,3
717,2,3
718,3,4
719,1,3
720,0,3
721,5,3
722,8,3
723,5,3
724,1,3
725,3,3
726,2,3
727,0,3
728,4,3
729,4,3
730,3,3
731,14,3
732,1,3
733,3,3
734,4,3
735,5,3
736,1,3
737,2,3
738,0,3
739,1,3
740,1,3
741,8,3
742,0,3
743,3,3
744,3,3
745,2,3
746,1,3
747,2,3
748,3,3
749,19,3
750,1,3
751,0,3
752,4,3
753,0,3
754,2,3
755,7,2
756,1,3
757,3,4
758,1,3
759,0,3
760,0,3
761,9,3
762,4,3
763,0,3
764,1,3
765,1,3
766,1,3
767,4,3
768,16,3
769,2,3
770,1,3
771,0,3
772,6,3
773,0,3
774,0,3
775,1,3
776,0,3
777,5,3
778,2,3
779,0,3
780,0,3
781,0,3
782,0,3
783,0,3
784,0,3
785,1,3
786,7,3
787,3,3
788,4,3
789,9,3
790,2,3
791,0,3
792,0,3
793,0,3
794,0,3
795,9,3
796,5,3
797,1,3
798,0,3
799,5,3
800,0,3
801,5,3
802,4,3
803,6,3
804,3,3
805,1,3
806,8,3
807,1,4
808,9,3
809,2,3
810,7,3
811,1,3
812,5,3
813,1,3
814,1,3
815,2,3
816,2,3
817,3,3
818,9,3
819,4,3
820,1,3
821,0,3
822,1,3
823,9,3
824,1,3
825,6,3
826,2,4
827,3,3
828,0,3
829,2,3
830,0,3
831,0,3
832,2,3
833,4,4
834,1,3
835,4,3
836,6,3
837,19,5
838,0,3
839,3,3
840,1,3
841,1,3
842,2,3
843,3,3
844,0,3
845,2,3
846,0,3
847,7,2
848,1,3
849,2,3
850,0,3
851,2,3
852,0,3
853,5,3
854,13,3
855,0,3
856,0,3
857,0,3
858,1,3
859,4,3
860,0,3
861,1,3
862,0,3
863,5,3
864,3,3
865,3,3
866,2,3
867,1,3
868,12,4
869,0,3
870,0,3
871,2,3
872,4,3
873,21,3
874,1,3
875,1,3
876,0,3
877,1,3
878,0,3
879,1,3
880,0,3
881,0,3
882,1,3
883,1,3
884,0,3
885,6,3
886,2,3
887,0,3
888,3,3
889,4,3
890,3,3
891,0,3
892,6,3
893,0,3
894,2,3
895,0,3
896,3,3
897,0,3
898,0,3
899,6,3
900,4,3
901,0,3
902,4,3
903,0,3
904,3,3
905,4,3
906,0,3
907,2,3
908,1,3
909,0,3
910,3,3
911,1,3
912,0,3
913,2,3
914,2,2
915,0,3
916,1,3
917,1,3
918,0,3
919,8,3
920,0,3
921,3,3
922,3,3
923,2,3
924,4,3
925,0,3
926,23,3
927,0,3
928,1,3
929,4,2
930,1,3
931,1,3
932,0,3
933,0,3
934,4,3
935,4,3
936,3,3
937,2,3
938,0,3
939,1,3
940,1,3
941,0,3
942,4,3
943,1,3
944,3,3
945,1,3
946,9,3
947,22,3
948,0,3
949,0,3
950,0,3
951,1,3
952,0,3
953,4,3
954,3,3
955,0,3
956,2,3
957,4,3
958,3,3
959,5,3
960,0,3
961,0,3
962,5,3
963,6,4
964,8,3
965,0,3
966,2,3
967,0,3
968,0,3
969,3,3
970,12,3
971,6,3
972,0,3
973,0,3
974,4,3
975,1,3
976,1,3
977,1,3
978,1,3
979,0,3
980,3,3
981,0,3
982,2,3
983,5,3
984,10,3
985,0,3
986,0,3
987,3,3
988,9,2
989,0,3
990,0,3
991,2,3
992,3,3
993,59,2
994,2,3
995,7,3
996,10,3
997,0,3
998,1,3
999,0,3
1000,2,3
1001,3,2
1002,5,3
1003,10,3
1004,0,3
1005,6,3
1006,0,3
1007,1,3
1008,0,3
1009,0,3
1010,0,3
1011,0,3
1012,1,3
1013,0,3
1014,1,3
1015,0,3
1016,1,3
1017,1,3
1018,7,3
1019,0,3
1020,1,3
1021,0,3
1022,4,3
1023,3,3
1024,3,3
1025,1,3
1026,0,3
1027,0,3
1028,0,3
1029,0,3
1030,0,3
1031,2,3
1032,1,3
1033,0,3
1034,2,3
1035,3,3
1036,3,3
1037,4,4
1038,0,3
1039,5,3
1040,2,3
1041,3,3
1042,0,3
1043,1,3
1044,1,3
1045,3,3
1046,0,3
1047,2,3
1048,1,3
1049,0,3
1050,2,3
1051,1,3
1052,0,3
1053,3,3
1054,1,3
1055,3,3
1056,1,3
1057,5,4
1058,0,3
1059,2,3
1060,3,3
1061,2,4
1062,0,3
1063,0,3
1064,0,3
1065,0,3
1066,3,3
1067,1,3
1068,0,3
1069,2,3
1070,2,3
1071,0,3
1072,1,3
1073,1,3
1074,0,3
1075,1,3
1076,3,3
1077,1,3
1078,1,3
1079,0,3
1080,3,3
1081,6,3
1082,0,3
1083,2,3
1084,0,3
1085,0,3
1086,1,3
1087,3,3
1088,0,3
1089,0,3
1090,3,3
1091,1,3
1092,0,3
1093,0,3
1094,3,3
1095,4,3
1096,0,3
1097,0,3
1098,2,3
1099,1,3
1100,5,3
1101,1,3
1102,0,3
1103,0,3
1104,3,3
1105,0,3
1106,9,3
1107,4,3
1108,9,4
1109,9,4
1110,1,3
1111,1,3
1112,0,3
1113,0,3
1114,0,3
1115,0,3
1116,0,3
1117,2,3
1118,3,3
1119,2,3
1120,2,3
1121,7,3
1122,6,3
1123,8,3
1124,2,3
1125,1,3
1126,2,4
1127,10,4
1128,1,3
1129,15,3
1130,0,3
1131,2,3
1132,11,3
1133,2,3
1134,0,3
1135,6,3
1136,7,3
1137,1,3
1138,0,3
1139,6,3
1140,1,3
1141,2,3
1142,1,3
1143,1,3
1144,3,3
1145,3,3
1146,1,3
1147,0,3
1148,2,3
1149,4,3
1150,4,5
1151,0,3
1152,0,3
1153,3,3
1154,0,3
1155,0,3
1156,0,3
1157,0,3
1158,0,3
1159,10,3
1160,1,3
1161,0,3
1162,0,3
1163,0,3
1164,8,3
1165,7,3
1166,0,3
1167,3,3
1168,1,3
1169,8,3
1170,5,3
1171,6,3
1172,0,3
1173,0,3
1174,21,4
1175,0,3
1176,1,3
1177,0,3
1178,0,3
1179,0,3
1180,0,3
1181,3,3
