attempt,turns,length
0,2,3
1,0,3
2,0,3
3,2,3
4,6,2
5,2,3
6,1,3
7,0,3
8,3,3
9,0,3
10,0,3
11,0,3
12,3,3
13,0,3
14,6,3
15,3,3
16,0,3
17,0,3
18,0,3
19,1,3
20,0,3
21,0,3
22,0,3
23,0,3
24,3,3
25,5,3
26,1,3
27,0,3
28,3,3
29,0,3
30,2,3
31,1,3
32,0,3
33,0,3
34,5,3
35,0,3
36,0,3
37,2,3
38,8,3
39,0,3
40,6,3
41,6,3
42,2,3
43,1,3
44,10,3
45,10,3
46,1,3
47,1,3
48,2,3
49,1,3
50,3,3
51,2,3
52,5,3
53,3,3
54,4,4
55,0,3
56,0,3
57,2,3
58,1,3
59,0,3
60,6,3
61,0,3
62,1,3
63,0,3
64,6,3
65,2,3
66,0,3
67,3,3
68,3,4
69,0,3
70,0,3
71,1,3
72,3,3
73,0,3
74,0,3
75,0,3
76,2,3
77,1,3
78,1,3
79,0,3
80,0,3
81,1,3
82,3,3
83,0,3
84,0,3
85,0,3
86,2,3
87,3,3
88,2,3
89,1,3
90,3,3
91,2,4
92,0,3
93,3,3
94,0,3
95,6,3
96,2,3
97,1,3
98,4,3
99,4,3
100,0,3
101,0,3
102,0,3
103,2,3
104,1,3
105,3,3
106,2,3
107,0,3
108,3,3
109,0,3
110,1,3
111,0,3
112,5,3
113,0,3
114,0,3
115,2,3
116,2,3
117,1,3
118,2,3
119,5,3
120,1,3
121,0,3
122,3,3
123,2,3
124,0,3
125,0,3
126,6,3
127,1,3
128,4,3
129,0,3
130,0,3
131,0,3
132,4,3
133,1,3
134,2,3
135,1,3
136,1,3
137,4,4
138,5,3
139,3,3
140,0,3
141,6,3
142,6,4
143,2,3
144,2,3
145,6,3
146,0,3
147,0,3
148,0,3
149,2,3
150,4,3
151,2,3
152,3,3
153,3,3
154,0,3
155,0,3
156,2,2
157,2,3
158,0,3
159,3,3
160,0,3
161,0,3
162,2,3
163,1,3
164,1,3
165,0,3
166,0,3
167,0,3
168,2,3
169,0,3
170,0,3
171,1,3
172,1,3
173,5,3
174,0,3
175,1,3
176,1,3
177,0,3
178,0,3
179,5,3
180,0,3
181,0,3
182,0,3
183,1,3
184,0,3
185,0,3
186,0,3
187,0,3
188,0,3
189,1,3
190,5,3
191,0,3
192,0,3
193,3,3
194,6,3
195,3,3
196,3,3
197,2,2
