attempt,turns,length
0,3,3
1,1,3
2,5,3
3,0,3
4,0,3
5,2,3
6,1,3
7,3,4
8,0,3
9,0,3
10,3,3
11,15,3
12,7,3
13,1,3
14,0,3
15,3,3
16,0,3
17,2,3
18,0,3
19,1,3
20,2,3
21,0,3
22,3,3
23,1,3
24,5,3
25,0,3
26,5,3
27,0,3
28,2,3
29,0,3
30,2,3
31,6,3
32,5,3
33,1,3
34,2,3
35,2,3
36,0,3
37,3,3
38,0,3
39,4,4
40,0,3
41,1,3
42,0,3
43,3,3
44,1,3
45,4,3
46,3,3
47,4,3
48,0,3
49,1,4
50,1,3
51,0,3
52,1,3
53,5,3
54,1,3
55,0,3
56,0,3
57,5,3
58,0,3
59,0,3
60,4,3
61,0,3
62,1,3
63,3,3
64,3,3
65,3,3
66,0,3
67,8,3
68,0,3
69,3,3
70,5,3
71,7,3
72,1,3
73,0,3
74,2,3
75,2,3
76,0,3
77,0,3
78,0,3
79,8,3
80,8,2
81,1,3
82,2,3
83,0,3
84,4,3
85,4,3
86,3,3
87,1,3
88,0,3
89,0,3
90,1,3
91,0,3
92,1,3
93,0,3
94,11,3
95,0,3
96,0,3
97,1,3
98,0,3
99,17,3
100,5,4
101,1,3
102,0,3
103,4,3
104,0,3
105,1,3
106,3,3
107,1,3
108,4,3
109,1,3
110,4,3
111,0,3
112,2,3
113,1,3
114,0,3
115,0,3
116,3,3
117,0,3
118,7,3
119,1,3
120,0,3
121,10,3
122,2,3
123,4,3
124,4,3
125,4,3
126,6,3
127,3,3
128,2,3
129,3,3
130,4,3
131,0,3
132,3,3
133,0,3
134,4,3
135,1,3
136,6,4
137,0,3
138,1,3
139,1,3
140,0,3
141,3,3
142,1,3
143,0,3
144,0,3
145,0,3
146,13,4
147,4,3
148,0,3
149,1,3
150,0,3
151,1,3
152,0,3
153,5,3
154,0,3
155,0,3
156,9,3
157,4,3
158,0,3
159,0,3
160,1,3
161,1,3
162,2,3
163,0,3
164,0,3
165,1,3
166,1,3
167,3,3
168,0,3
169,1,3
170,2,3
171,0,3
172,0,3
173,18,2
174,4,3
175,2,3
176,4,3
177,2,3
178,1,3
179,2,3
180,0,3
181,1,3
182,2,3
183,6,3
184,0,3
185,0,3
186,7,3
187,4,3
188,0,3
189,0,3
190,8,3
191,0,3
192,2,3
193,0,3
194,2,3
195,1,3
196,2,2
197,1,3
198,2,3
199,2,3
200,2,3
201,0,3
202,2,3
203,0,3
204,2,3
205,2,3
206,0,3
207,0,3
208,6,3
209,4,3
210,0,3
211,12,4
212,1,3
213,4,3
214,0,3
215,3,4
216,12,3
217,0,3
218,3,4
219,4,3
220,0,3
221,2,3
222,0,3
223,0,3
224,1,3
225,6,3
226,8,3
227,0,3
228,7,3
229,4,3
230,7,4
231,0,3
232,2,2
233,0,3
234,1,3
235,0,3
236,0,3
237,4,3
238,0,3
239,0,3
240,1,3
241,3,4
242,1,3
243,2,3
244,0,3
245,0,3
246,2,3
247,6,3
248,1,3
249,3,3
250,0,3
251,3,3
252,0,3
253,0,3
254,2,3
255,0,3
256,3,3
257,0,3
258,0,3
259,2,2
260,0,3
261,9,3
262,1,3
263,1,3
264,2,3
265,2,3
266,2,3
267,3,3
268,5,3
269,0,3
270,0,3
271,5,2
272,0,3
273,1,3
274,0,3
275,8,3
276,0,3
277,8,3
278,0,3
279,5,3
280,3,3
281,3,3
282,2,3
283,0,3
284,0,3
285,3,3
286,0,3
287,10,3
288,0,3
289,0,3
290,0,3
291,8,3
292,5,3
293,2,3
294,3,4
295,2,3
296,0,3
297,2,3
298,1,3
299,2,3
300,3,3
301,1,3
302,1,3
303,5,3
304,5,3
305,1,3
306,9,3
307,2,3
308,0,3
309,0,3
310,1,3
311,2,3
312,3,3
313,2,3
314,2,3
315,3,3
316,0,3
317,1,3
318,1,3
319,10,3
320,4,3
321,2,3
322,1,3
323,0,3
324,5,3
325,0,3
326,2,3
327,2,3
328,1,3
329,0,3
330,2,3
331,2,3
332,1,3
333,1,3
334,5,3
335,6,3
336,0,3
337,0,3
338,4,3
339,0,3
340,0,3
341,9,3
342,2,3
343,0,3
344,3,3
345,11,4
346,5,3
347,0,3
348,2,3
349,0,3
350,14,3
