attempt,turns,length
0,1,3
1,1,3
2,10,3
3,4,3
4,0,3
5,0,3
6,1,3
7,4,3
8,4,3
9,5,3
10,1,3
11,1,3
12,1,3
13,0,3
14,0,3
15,0,3
16,1,3
17,2,3
18,8,3
19,1,3
20,4,3
21,0,3
22,0,3
23,0,3
24,3,3
25,2,3
26,1,3
27,4,4
28,1,3
29,9,2
30,0,3
31,2,3
32,0,3
33,2,3
34,1,3
35,1,3
36,3,3
37,0,3
38,0,3
39,1,3
40,1,3
41,0,3
42,14,3
43,3,3
44,1,3
45,1,3
46,0,3
47,1,3
48,4,3
49,0,3
50,0,3
51,6,3
52,0,3
53,0,3
54,1,3
55,3,3
56,1,2
57,2,3
58,0,3
59,0,3
60,2,3
61,2,3
62,0,3
63,0,3
64,0,3
65,1,3
66,0,3
67,0,3
68,2,3
69,0,3
70,0,3
71,3,3
72,5,3
73,1,3
74,9,3
75,0,3
76,0,3
77,0,3
78,0,3
79,10,3
80,0,3
81,2,3
82,3,3
83,2,3
84,1,3
85,1,3
86,0,3
87,1,3
88,0,3
89,12,3
90,1,3
91,2,3
92,7,3
93,6,3
94,0,3
95,0,3
96,1,3
97,2,3
98,0,3
99,7,3
100,0,3
101,6,4
102,1,3
103,1,3
104,2,3
105,3,3
106,1,3
107,1,3
108,9,3
109,0,3
110,0,3
111,0,3
112,1,3
113,6,3
114,1,3
115,0,3
116,0,3
117,4,3
118,1,3
119,1,3
120,5,3
121,2,3
122,0,3
123,4,3
124,3,3
125,4,3
126,2,3
127,0,3
128,11,2
129,0,3
130,0,3
131,5,3
132,1,4
133,0,3
134,4,3
135,3,3
136,13,3
137,0,3
138,1,3
139,0,3
140,1,3
141,9,3
142,0,3
143,0,3
144,0,3
145,0,3
146,0,3
147,19,3
148,4,3
149,2,3
150,1,3
151,0,3
152,7,3
153,0,3
154,2,3
155,0,3
156,0,3
157,1,3
158,2,3
159,0,3
160,3,3
161,3,3
162,9,3
163,8,3
164,3,3
165,0,3
166,5,3
167,0,3
168,0,3
169,6,3
170,3,3
171,1,3
172,1,3
173,3,3
174,5,3
175,0,3
176,3,3
177,2,3
178,10,4
179,0,3
180,0,3
181,4,3
182,1,3
183,3,3
184,0,3
185,6,3
186,0,3
187,2,3
188,1,3
189,0,3
190,2,3
191,0,3
192,2,3
193,7,3
194,7,3
195,0,3
196,3,3
197,0,3
198,0,3
199,0,3
200,1,3
201,2,3
202,0,3
203,1,3
204,0,3
205,0,3
206,1,3
207,1,3
208,1,3
209,0,3
210,0,3
211,4,3
212,1,3
213,1,3
214,0,3
215,14,3
216,0,3
217,10,3
218,4,3
219,2,3
220,0,3
221,2,3
222,3,3
223,1,3
224,1,3
225,0,3
226,5,3
227,8,3
228,7,3
229,0,3
230,7,3
231,5,3
232,0,3
233,2,3
234,0,3
235,3,3
236,0,3
237,5,3
238,6,3
239,2,4
240,0,3
241,1,3
242,0,3
243,2,3
244,4,3
245,0,3
246,1,3
247,0,3
248,3,3
249,1,3
250,7,3
251,6,3
252,1,3
253,2,3
254,3,3
255,2,3
256,1,3
257,1,3
258,2,3
259,0,3
260,0,3
261,0,3
262,0,3
263,1,3
264,12,3
265,0,3
266,0,3
267,0,3
268,1,3
269,4,3
270,0,3
271,0,3
272,1,4
273,0,3
274,0,3
275,1,3
276,0,3
277,0,3
278,0,3
279,1,3
280,0,3
281,0,3
